Ward,Bookings,Completed_Trips,Cancelled_Bookings,Booking_Cancellation_Rate,Completion_Rate_From_Bookings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Drivers_Earnings,Distance_Travelled_Km,Estimated_Fare_Revenue,Estimated_Earnings_Per_Completed_Trip,Estimated_Distance_Per_Completed_Trip_Km
Sampangiram Nagar,355542,188850,166584,46.9,53.116087550837875,7.69,137.83,28029607,1592800,26029195.500000004,148.4225946518401,8.434207042626424
Madivala,315216,187691,127466,40.4,59.543614537333134,6.69,123.51,23498153,1283390,23181715.41,125.19594972587923,6.837781246836556
Gandhinagar,292759,183335,109334,37.4,62.62318152473536,8.46,153.09,27800422,1574607,28066755.150000002,151.63728693375515,8.588687375569313
Aramane Nagara,279386,180884,98438,35.2,64.74340160208457,7.22,128.38,24979189,1425382,23221887.919999998,138.09507197983237,7.880088896751509
Jakkuru,291553,179670,111831,38.4,61.62515906198873,8.89,154.35,29913410,1743306,27732064.5,166.49084432570825,9.702821840040073
Vinayakanagar,275406,173474,101845,37.0,62.98846067260698,7.48,133.85,23202000,1292724,23219494.9,133.74914972848958,7.4519755121805
J P Nagar,266903,172802,93999,35.2,64.74337118728528,6.45,116.66,21453148,1186151,20159081.32,124.14872513049617,6.864220321524057
Whitefield,281317,170977,110293,39.2,60.77734370834326,8.52,151.14,29280129,1679399,25841463.779999997,171.2518584370997,9.822367920831457
Munnekollala,297146,166505,130590,44.0,56.03474386328606,9.04,159.13,29576393,1687327,26495940.65,177.63065973994776,10.133791778024683
Ejipura,268768,163779,104902,39.0,60.936941897844974,6.47,122.29,21092572,1148191,20028533.91,128.78679195745485,7.010611861105514
Jeevanbhima Nagar,264220,160433,103743,39.3,60.71947619408069,8.39,149.77,24369066,1367391,24028050.41,151.89559504590702,8.523128034755942
Kempapura,235067,150852,84173,35.8,64.17404399596711,8.28,145.63,22886452,1322285,21968576.759999998,151.71460769495928,8.7654456023122
HSR - Singasandra,250108,145339,104704,41.9,58.11049626561326,7.91,141.29,21487915,1209859,20534947.31,147.84686147558466,8.324393314939556
Shakambari Nagar,211098,143850,67203,31.8,68.14370576698974,6.29,114.15,16847054,935402,16420477.5,117.11542579075426,6.502620785540493
New Thippasandra,212511,141334,71126,33.5,66.5066749485909,7.57,135.66,20334402,1138133,19173370.44,143.87480719430567,8.052789845330919
Hudi,237996,139066,98878,41.5,58.43207448864687,8.59,152.37,24067402,1376861,21189486.42,173.0646024189953,9.900773733335251
Ulsoor,231034,137688,93291,40.4,59.59642303730187,7.28,132.34,19496628,1087433,18221629.92,141.60005229213874,7.8978051827319735
Horamavu,213193,134402,78766,37.0,63.04240758373868,8.54,149.94,21419228,1243702,20152235.88,159.36688442136278,9.253597416705109
C V Raman Nagar,220398,133108,87237,39.6,60.39437744444142,7.35,132.29,18927535,1061714,17608857.32,142.19682513447728,7.9763350061604115
BTM Layout,225865,131673,94148,41.7,58.29721293693135,6.85,126.39,17159245,944612,16642150.47,130.31711132882216,7.173923279639713
AECS Layout,222152,131372,90735,40.8,59.136087003493095,7.79,141.87,21664546,1221715,18637745.64,164.9099199220534,9.299660506043907
Banasavadi,193129,129571,63520,32.9,67.0903903608469,7.33,131.58,18119313,1027738,17048952.180000003,139.84080542714034,7.931852034791736
Hennur,202957,129335,73580,36.3,63.7253211271353,7.26,130.63,18050307,1026125,16895031.05,139.56243089650906,7.933853945181119
N S Palya,197602,128229,69328,35.1,64.89256181617596,7.29,131.77,16804588,932215,16896735.330000002,131.05138463218148,7.269923340274041
Dodda Nekkundi,210757,127586,83119,39.4,60.537016564099886,8.44,148.42,21582457,1235186,18936314.119999997,169.16007242173907,9.681203266816109
Jnana Bharathi,182666,125721,56904,31.1,68.82561615188376,7.13,124.87,16382506,947899,15698781.270000001,130.30842898163394,7.539702993135594
Sarakki,188967,125071,63821,33.8,66.18668868109246,6.07,111.14,14915086,813727,13900390.94,119.25295232308049,6.506120523542628
Subramanyapura,182249,124196,58020,31.8,68.14632727751592,7.97,139.95,17248916,998378,17381230.2,138.88463396566718,8.038729105607265
Pulikeshinagar,184193,122558,61553,33.4,66.53781631223771,5.85,110.85,14606750,795966,13585554.299999999,119.18234631766184,6.494606635225771
Kalkere,192404,121528,70832,36.8,63.16292800565477,8.75,154.38,19739152,1134101,18761492.64,162.42472516621683,9.332014021460076
Ibluru,192428,120717,71676,37.3,62.733593863678884,8.26,146.46,18702426,1052691,17680211.82,154.92785606004125,8.720321081537811
Kalena Agrahara,185254,120613,64607,34.9,65.10682630334568,9.98,172.89,20590403,1198826,20852781.569999997,170.71462446004992,9.939442680308092
Vishveshwara Puram,186643,120170,66426,35.6,64.38494880600933,6.65,120.04,14185350,795860,14425206.8,118.04402097029208,6.622784388782558
Rajarajeshwari Nagar,170354,119567,50761,29.8,70.18737452598707,7.97,137.66,17302405,1013757,16459593.219999999,144.7088661587227,8.478568501342343
Hulimavu,182318,119094,63188,34.7,65.3221294660977,7.91,141.18,17254752,979150,16813690.92,144.88347020001007,8.221656842494165
Mahadevapura,195067,116959,78061,40.0,59.9583732768741,7.57,137.16,18052185,1018123,16042096.44,154.34626664044666,8.704956437726041
Belathur,186679,115788,70818,37.9,62.025187621532154,8.71,153.6,19751448,1138460,17785036.8,170.5828583272878,9.832279683559609
Rupenaagrahara,190728,111611,79081,41.5,58.51841365714525,7.96,142.96,16717199,948513,15955908.56,149.7809266111763,8.498382775891265
Byatarayanapura,168796,110246,58518,34.7,65.31315907959905,8.48,148.43,17387578,1012272,16363813.780000001,157.7161801788727,9.181938573735101
Jogupalya,163111,108242,54840,33.6,66.36094438756429,6.39,118.33,13870184,764262,12808275.86,128.14049999076144,7.0606788492452095
Hemmigepura,158827,106777,52002,32.7,67.22849389587412,8.48,146.23,15755609,924865,15614000.709999999,147.55620592449685,8.661649980801108
Babusab Palya,168721,105895,62790,37.2,62.7633785954327,7.23,131.09,15117374,854485,13881775.55,142.7581472213041,8.06917229330941
Kogilu,159915,104384,55521,34.7,65.27467717224775,11.34,190.25,20501848,1229470,19859056.0,196.4079552421827,11.778337676272226
Konena Agrahara,159894,102850,57016,35.7,64.32386456027118,8.17,146.2,15286571,859142,15036669.999999998,148.62976178901312,8.353349538162373
Konanakunte,154765,101021,53684,34.7,65.27380221626336,6.87,122.45,12839437,720459,12370021.450000001,127.09671256471427,7.131774581522654
Sunkenahalli,148854,100920,47886,32.2,67.7979765407715,6.41,114.38,12127955,686467,11543229.6,120.17394966309948,6.8020907649623465
Kadu Malleshwara,139524,100728,38757,27.8,72.19403113442849,7.26,127.05,12911553,743775,12797492.4,128.18236240171552,7.383994519895163
Subhash Nagar,160185,96108,64030,40.0,59.99812716546493,8.63,153.3,15244495,865902,14733356.4,158.6183772422691,9.009676613809464
Radhakrishna Temple Ward,138698,94980,43684,31.5,68.47971852514095,7.4,130.61,13095032,749821,12405337.8,137.87146767740578,7.894514634659928
Amrutahalli,141512,90988,50503,35.7,64.29702074735711,8.49,149.11,14484899,840939,13567220.680000002,159.19570712621444,9.242306677803667
Nagapura,132094,90419,41635,31.5,68.45049737308281,6.8,120.42,11369271,647417,10888255.98,125.73984450170872,7.160187571196319
Lingarajapura,133228,89020,44176,33.2,66.81778605098027,6.22,115.48,11030167,611475,10280029.6,123.90661649067626,6.868962031004268
Devasandra,151453,88876,62507,41.3,58.68223145134134,7.7,139.96,14425616,793244,12439084.96,162.3117151987038,8.925289166929204
Arakere,131785,88063,43700,33.2,66.82323481428084,7.82,139.77,12750606,726830,12308565.510000002,144.78959381351987,8.253523046001158
Bilekhalli,135758,86611,49113,36.2,63.79808188099412,8.19,144.87,12355272,696746,12547335.57,142.65245754003533,8.044543995566382
Lal Bahadur Nagar,128841,85453,43354,33.7,66.32438431865633,7.19,129.9,11787280,663330,11100344.700000001,137.93874995611623,7.762512726293986
Hombegowda Nagara,132613,84882,47700,36.0,64.00729943519866,6.4,119.14,10291927,572545,10112841.48,121.24981739355812,6.745187436676798
Sanjaya Nagar,123907,84364,39515,31.9,68.08654878255466,7.31,130.66,11950621,690457,11023000.24,141.65545730406333,8.184261059219573
Jalakanteshwara Nagara,126460,84108,42323,33.5,66.50956824292267,8.16,146.14,12321916,690292,12291543.12,146.501117610691,8.207209777904598
Subramanya Nagar,132053,84018,47975,36.3,63.62445381778529,7.33,130.39,11620465,658156,10955107.02,138.3092313551858,7.8335118665047965
A Narayanapura,148604,83641,64929,43.7,56.2844876315577,7.84,144.2,12960687,724832,12061032.2,154.95614590930285,8.665989167991775
Dharmaraya Swamy Temple Ward,154173,81338,72800,47.2,52.757616443865004,8.25,144.28,11791632,677451,11735446.64,144.97076397255896,8.328837689640759
Ganesh Mandir ward,115021,81053,33945,29.5,70.46800149537911,6.34,114.06,9225801,518193,9244905.18,113.82430014928504,6.3932611994620805
Maruthi Seva Nagar,120619,77966,42616,35.3,64.6382410731311,6.83,125.11,10465501,588080,9754326.26,134.23160095426212,7.542775055793551
Yediyur,114022,77289,36701,32.2,67.7842872428128,6.16,111.86,9336611,524159,8645547.54,120.80129125748813,6.78180594910013
RBI layout,112912,75034,37859,33.5,66.45352132634264,7.74,138.01,10308499,586125,10355442.34,137.38437241783726,7.811458805341578
Basavanagudi,105222,74855,30342,28.8,71.1400657657144,5.93,106.91,8739365,494307,8002748.05,116.75058446329571,6.603526818515797
Ashoka Pillar,114382,74768,39588,34.6,65.3669283628543,6.24,113.58,8892465,495915,8492149.44,118.93410282473785,6.632717205221486
Shanthi Nagar,117491,74214,43247,36.8,63.16568928683899,6.12,113.8,8832651,489106,8445553.2,119.01596733769908,6.590481580294823
Hebbala,111227,74191,37015,33.3,66.70232947036241,7.18,128.16,10451800,600960,9508318.56,140.87692577266785,8.100173875537465
Jakkasandra,120381,71542,48812,40.6,59.429644212957186,7.65,137.15,10009357,561808,9811985.3,139.9088227894104,7.852841687400408
Vasanthpura,104593,71270,33305,31.8,68.14031531746866,7.22,127.94,9166566,522826,9118283.8,128.61745474954398,7.3358495860811
Chatrapati Shivaji,121287,70969,50282,41.5,58.51327842225466,10.02,176.51,11852321,684706,12526738.19,167.00701714833238,9.647958968000113
Ganga Nagar,103887,70862,33000,31.8,68.21065195837785,6.67,120.88,9141119,517686,8565798.56,128.99888515706584,7.305551635573368
Veeramadakari,108624,70763,37831,34.8,65.14490352040065,7.09,125.9,9332952,537835,8909061.700000001,131.89028164436218,7.600511566779249
Kodigehalli,105725,70564,35140,33.2,66.74296524000945,7.6,133.63,10230486,593640,9429467.32,144.9816620372995,8.4127883906808
Chunchaghatta,100846,69785,31050,30.8,69.19957162406045,8.04,142.83,9809361,561909,9967391.55,140.56546535788493,8.052002579350864
Girinagar,92674,68559,24098,26.0,73.97867794634956,6.16,110.86,8120554,464514,7600450.74,118.44621420965883,6.775390539535291
Vidyaranyapura,92989,68434,24532,26.4,73.5936508619299,8.23,142.87,10260458,601776,9777165.58,149.9321682204752,8.793523687056142
Puttenahalli - Sarakki Lake,103627,68322,35287,34.1,65.93069373811844,6.89,124.26,8925759,502544,8489691.72,130.64253095635374,7.355522379321449
Vijnana Nagar,100939,67616,33306,33.0,66.98699214377,8.31,148.27,10484765,591561,10025424.32,155.06337257453856,8.748831637482253
Ramamurthy Nagara,100972,66479,34467,34.1,65.83904448758071,7.22,130.58,9319066,526973,8680827.82,140.18059838445222,7.926909249537448
Kacharkanahalli,99607,65419,34157,34.3,65.67711104641239,6.79,123.42,8339738,468312,8074012.98,127.48189363946254,7.158654213607668
New Bayappanahalli,107300,65408,41874,39.0,60.958061509785644,6.72,121.67,8828102,495902,7958191.36,134.96975905088064,7.581671966731898
Uttarahalli,95735,65255,30463,31.8,68.16211416932157,7.63,135.69,8320142,473598,8854450.95,127.50198452225884,7.257650754731438
Begur,104409,65013,39383,37.7,62.267620607418905,9.51,165.47,10898601,632169,10757701.11,167.63725716395183,9.723732176641596
Kaval Bairasandra,96136,63841,32275,33.6,66.40696513272863,6.86,124.91,8533133,483576,7974379.31,133.66227032784573,7.574693378863113
Malleswaram,91944,63512,28406,30.9,69.07682937440181,6.73,120.55,7687376,436550,7656371.6,121.03816601587101,6.873504219675022
Varthuru,103606,62888,40705,39.3,60.6991873057545,10.96,190.49,12961411,759723,11979535.120000001,206.10308802951278,12.080571810202265
Hagadur,102653,62887,39751,38.7,61.26172639864398,8.77,153.23,11127797,643245,9636175.01,176.94908327635284,10.22858460413122
Padmanabha Nagar,88380,62331,26035,29.5,70.52613713509844,6.31,113.41,7340332,414667,7068958.71,117.76374516693139,6.65266079478911
Chamrajapet,102838,61777,41031,39.9,60.072152317236814,6.75,120.21,7786960,445176,7426213.17,126.04950062320928,7.206177056185959
Umamaheshwara Ward,89945,61347,28580,31.8,68.20501417532937,5.88,107.51,7419194,418110,6595415.970000001,120.93817138572383,6.815492200107585
Yelahanka Satellite Town,95135,61324,33788,35.5,64.45997792610501,8.69,149.5,9808967,577463,9167938.0,159.95315047942077,9.416590568129934
Anjanapura,88729,60694,28021,31.6,68.4037913196362,8.31,144.46,9140657,531947,8767855.24,150.60231653870235,8.76440834349359
Jayachamarajendra  Nagar,89181,60216,28949,32.5,67.52110875634945,6.65,120.71,7887322,447086,7268673.359999999,130.98382489703732,7.424704397502325
Jayamahal,95354,57697,37629,39.5,60.508211506596474,7.08,130.82,8178556,449166,7547921.54,141.75010832452293,7.784910827252717
Shettihalli,86145,56658,29465,34.2,65.77050322131291,7.57,131.12,7692274,450388,7428996.96,135.7667760951675,7.949239295421653
Lakkasandra,94954,56502,38431,40.5,59.50460222844745,6.97,126.23,7361671,413147,7132247.46,130.29044989557892,7.312077448585891
Dattatreya Temple,80384,56306,24051,29.9,70.04627786624204,6.58,118.04,7092611,404266,6646360.24,125.96545661208397,7.179803218129507
Medahalli,88720,56103,32596,36.7,63.23602344454463,8.86,157.11,9502663,552030,8814342.33,169.37887456998735,9.83958077108176
K R Puram,95586,55788,39775,41.6,58.36419559349696,8.15,144.68,8730663,501154,8071407.840000001,156.497149924715,8.983186348318634
Garudachar Playa,96448,55750,40674,42.2,57.80316854678168,8.3,147.09,9038348,510788,8200267.5,162.1228340807175,9.162116591928251
Katriguppe,79166,55446,23701,29.9,70.03764242225198,6.52,117.47,6475234,366779,6513241.62,116.78451105580204,6.6150669119503664
Devarachikkanahalli,87174,55262,31900,36.6,63.39275472044417,8.29,147.16,8343832,475621,8132355.92,150.9867901994137,8.606655568021425
Kempegowda Ward,89805,54974,34816,38.8,61.21485440677022,9.86,168.46,9949162,592827,9260920.040000001,180.9794084476298,10.783770509695492
Neelasandra,88979,54805,34144,38.4,61.593184908798705,5.83,110.57,6463739,352007,6059788.85,117.94068059483624,6.422899370495393
Kumaraswamy Layout,80684,54590,26080,32.3,67.6590154181746,6.39,114.23,6371132,358192,6235815.7,116.70877450082433,6.561494779263602
Thanisandra,82935,54435,28487,34.4,65.63573883161511,8.64,150.7,8798989,514432,8203354.499999999,161.64212363369157,9.45039037384036
Attiguppe,72200,52845,19332,26.8,73.19252077562327,6.97,123.87,6467725,369824,6545910.15,122.39048159712367,6.998277982779828
Ramaswamy Palya,76894,52575,24304,31.6,68.37334512445705,6.07,112.24,6218113,344823,5901018.0,118.27128863528293,6.558687589158345
Sudham Nagara,86990,51838,35118,40.4,59.59075755834004,7.44,132.63,7147733,406732,6875273.9399999995,137.88597168100623,7.846213202669856
Kanneshwara Rama,75289,50824,24444,32.5,67.50521324496275,7.24,126.82,6666800,383834,6445499.68,131.174248386589,7.552219423894223
Gurappanapalya,95401,50729,44650,46.8,53.17449502625758,6.94,126.23,6598625,366661,6403521.67,130.07599203611346,7.227838120207377
Basavanapura,82367,50465,31894,38.7,61.268469168477665,9.62,168.17,8871533,516880,8486699.049999999,175.79575943723373,10.242346180521153
Kudlu,80368,50108,30253,37.6,62.34819828787577,9.02,159.12,8378598,480351,7973184.96,167.21078470503713,9.586313562704559
Sir M. Vishweshwaraiah,68993,49703,19275,27.9,72.040641804241,7.65,131.9,7042823,416894,6555825.7,141.69814699313926,8.387702955556003
Mattikere,72560,49681,22863,31.5,68.4688533627343,6.83,121.59,6240282,355613,6040712.79,125.60701274128942,7.157927577947304
Someshwara Ward,73572,49328,24230,32.9,67.04724623498069,9.86,167.44,8645725,516119,8259480.32,175.27013055465457,10.463002757054817
Kuvempunagar,74164,49239,24917,33.6,66.39205005123779,8.65,148.64,7473265,440698,7318884.959999999,151.77532037612463,8.950181766485915
Someshwara Nagar,83617,48356,35234,42.1,57.83034550390471,7.55,133.6,6948587,398478,6460361.6,143.69648027132104,8.240507899743568
Nalvadi Krishnaraja Wadior Park,66856,48127,18727,28.0,71.98605959076222,8.19,140.92,7063617,418340,6782056.84,146.7703575955285,8.692417977434705
Vishwanath Nagenahalli,72720,47891,24812,34.1,65.8567106710671,6.53,119.33,6530937,370828,5714833.03,136.37086300139902,7.7431667745505415
HAL Airport,74006,47030,26966,36.4,63.54890144042374,8.55,151.55,7494305,428553,7127396.500000001,159.35158409525835,9.112332553689134
Vikram Nagar,64768,45251,19502,30.1,69.86629199604744,7.24,129.76,5800764,330132,5871769.76,128.1908466111246,7.295573578484453
Dodda Bommasandra,67164,44788,22363,33.3,66.68453338097791,8.04,140.8,6400370,373067,6306150.4,142.9036795570242,8.329619540948467
Hanumanth Nagar,62055,44418,17619,28.4,71.57843848199178,6.75,118.14,5196937,294931,5247542.5200000005,117.00069791525958,6.639898239452474
Rajamahal Guttahalli,63260,44403,18841,29.8,70.19127410686058,6.3,113.9,5386551,304299,5057501.7,121.31051955948922,6.853118032565368
Gottigere,64702,44306,20384,31.5,68.47701771197181,9.04,155.56,6970268,405976,6892241.36,157.32108518033675,9.163002753577393
Okalipuram,77551,44243,33277,42.9,57.05019922373664,6.79,122.73,6159044,345240,5429943.390000001,139.2094568632326,7.803268313631535
Bande Mutt,66875,43599,23253,34.8,65.19476635514019,8.47,149.11,6521990,383759,6501046.890000001,149.59035757700866,8.802013807656138
Hosakerehalli,67711,43458,24243,35.8,64.18159530947705,7.32,129.03,5569815,321161,5607385.74,128.16547010907084,7.39014680841272
Sriramamandir,60894,43222,17655,29.0,70.9790783985286,6.58,117.45,5402455,311932,5076423.9,124.9931747721068,7.216972837906622
Chokkasandra,73111,43081,30011,41.0,58.925469491594974,5.01,96.47,4369042,237432,4156024.07,101.4145911190548,5.511292681228384
Tilak Nagar,71905,42761,29125,40.5,59.46874348098186,6.98,126.96,5238333,289803,5428936.56,122.5025841303992,6.77727368396436
Manorayanapalya,65761,42741,23005,35.0,64.99444959778592,7.13,128.85,5769512,326215,5507177.85,134.9877635057673,7.632367048033504
Srinagar,58086,41921,16144,27.8,72.17057466515168,6.68,118.81,5044899,289196,4980634.01,120.3430023138761,6.898594976264879
Kengeri,56271,39618,16645,29.6,70.40571519965879,8.4,144.76,6105084,362715,5735101.68,154.09874299560806,9.155308193245494
Marappana Palya,60885,39411,21463,35.3,64.73022912047303,6.87,122.99,5033661,287228,4847158.89,127.72223490903555,7.288016036132045
Hampi Nagar,55601,39198,16380,29.5,70.49873203719358,6.72,120.11,4996931,287236,4708071.78,127.4792336343691,7.327822848104495
Ullal,54815,39147,15658,28.6,71.41658305208428,9.6,162.23,6139405,367154,6350817.81,156.8295143944619,9.378854062891154
Naganathapura,65568,38620,26938,41.1,58.9006832601269,10.4,179.22,7416872,436687,6921476.4,192.04743656136716,11.307276022786121
Kamakya Nagar,57518,38541,18968,33.0,67.00685002955596,6.01,109.83,4704595,265949,4232958.03,122.06727900158273,6.9004177369554505
Mangammanapalya,66180,38343,27818,42.0,57.9374433363554,7.84,140.92,5773897,325690,5403295.56,150.5854262838067,8.49411887437081
Doddagollarahatti,53145,38065,15069,28.3,71.62480007526578,9.0,151.89,6148958,369997,5781692.85,161.53836858006042,9.720136608432943
T Dasarahalli,61128,37945,23152,37.9,62.07466300222484,6.41,115.27,4428407,248636,4373920.149999999,116.70594281196469,6.5525365660824875
Vidyapeeta ward,55960,37832,18111,32.4,67.60543245175124,6.19,112.18,4405252,247727,4243993.760000001,116.44248255445126,6.548080989638401
Chamundi Nagara,56063,37616,18434,32.9,67.0959456325919,5.79,108.06,4634638,258432,4064784.96,123.20921948107188,6.870267971076138
Atturu Layout,54548,37150,17385,31.9,68.10515509276233,9.0,169.54,6254460,372076,6298411.0,168.35693135935398,10.015504710632571
J P Park,54791,37081,17699,32.3,67.67717325838186,6.65,119.43,4936530,284992,4428583.83,133.12828672365902,7.685661120250263
Nagarabhavi,51678,36747,14920,28.9,71.10762800417973,7.73,134.74,5050626,295639,4951290.78,137.443219854682,8.04525539499823
Marenahalli,49970,36141,13815,27.7,72.32539523714229,7.04,124.1,4340983,248263,4485098.1,120.11242079632551,6.869289726349575
Dr. Raj Kumar Ward,51412,35829,15561,30.3,69.68995565237688,7.15,126.07,4510924,257641,4516962.029999999,125.90147645761813,7.190850986630942
Jaraganahalli,58207,35674,22518,38.7,61.28816121772296,6.79,121.3,4062345,225413,4327256.2,113.87410999607557,6.318691483993945
Chickpete,92089,34980,57078,62.0,37.98499277872493,9.79,167.33,5808054,340988,5853203.4,166.0392795883362,9.748084619782732
Gali Anjenaya Temple ward,54258,34405,19834,36.5,63.41000405470161,8.23,144.08,5059895,288389,4957072.4,147.06859468100566,8.382182822264205
Vannarapete,49797,33723,16070,32.3,67.72094704500272,6.51,117.94,4082537,227962,3977290.62,121.06090798564777,6.759837499629333
Kammanahalli,55260,33576,21666,39.2,60.7600434310532,6.67,121.53,4412131,248871,4080491.2800000003,131.4072849654515,7.412169406719085
Defence Colony,55754,33207,22522,40.4,59.55985220791333,6.09,111.03,3857800,217101,3686973.21,116.17430059927123,6.537808293432108
Kushal Nagar,51701,32787,18908,36.6,63.41656834490629,6.48,118.28,4058575,227574,3878046.36,123.78610424863513,6.940982706560527
Rajaji Nagar,45396,32404,12979,28.6,71.38073839104767,6.26,112.33,4107176,235670,3639941.32,126.7490433279842,7.272867547216393
Bommanahalli,54175,32011,22152,40.9,59.08814028610983,7.35,132.21,4456835,249748,4232174.3100000005,139.22823404454718,7.80194308206554
Vijinapura,51728,31626,20092,38.8,61.13903495205692,7.46,134.92,4521821,255491,4266979.92,142.97796117118827,8.078511351419717
Srinivasa Nagar,42504,31259,11234,26.4,73.54366647844908,6.62,117.91,3641236,207210,3685748.69,116.48600403083911,6.628810902460091
Agaram,51730,31096,20624,39.9,60.112120626329016,7.01,127.39,4144647,229317,3961319.44,133.28553511705687,7.374485464368408
Gayithri Nagar,43591,31052,12526,28.7,71.23488793558303,6.33,114.27,3714235,211782,3548312.04,119.6133904418395,6.820237021769934
Vijayanagara Krishnadevaraya,44220,30360,13851,31.3,68.65671641791045,7.41,127.94,4021673,235209,3884258.4,132.46617259552042,7.747332015810277
Kammagondanahalli,44183,30124,14051,31.8,68.1800692574067,8.44,144.22,4642293,274443,4344483.28,154.10612800424911,9.110443500199176
Veerabhadranagar,45797,29394,16390,35.8,64.1832434438937,6.11,109.13,3313096,186855,3207767.2199999997,112.7133428590869,6.356909573382323
Bharathi Nagar,51610,28677,22911,44.4,55.564813020732416,6.35,116.49,3577300,197970,3340583.73,124.74456881821669,6.903441782613244
Yelachenahalli,47953,28465,19475,40.6,59.36020686922612,6.32,115.22,3543903,199914,3279737.3,124.50036887405585,7.023151238362902
Deen Dayalu Ward,44423,28289,16127,36.3,63.68097607095423,7.42,131.25,3487579,198272,3712931.25,123.28392661458517,7.0088020078475735
Kadugondanahalli,45936,28083,17837,38.8,61.13505747126437,6.17,113.46,3474646,193981,3186297.1799999997,123.72773564077912,6.907417298721646
Sagayarapuram,46108,28010,18086,39.2,60.74867701917238,5.85,108.3,3270499,178616,3033483.0,116.76183505890754,6.376865405212424
Chanakya,44733,27699,17027,38.1,61.92072966266514,7.52,136.38,3852559,221877,3777589.6199999996,139.08657352250984,8.010289180114805
Shivanagara,37977,27691,10269,27.0,72.91518550701741,6.63,117.86,3383414,193984,3263661.26,122.18460871763389,7.0053085840164675
Mahalakshimpuram,38745,27477,11250,29.0,70.91753774680603,6.53,116.34,3370934,193461,3196674.18,122.68202496633548,7.040834152200022
Basaveshwara Nagar,36131,27146,8976,24.8,75.13215798068141,7.74,132.38,3350801,194172,3593587.48,123.43627053709571,7.1528770352906506
Vidyamanyanagar,38827,26581,12238,31.5,68.46009220387874,8.98,151.45,4253108,255355,4025692.4499999997,160.00556788683647,9.606673940032353
Peenya,45149,26421,18711,41.4,58.51956853972402,7.85,138.3,3543467,206158,3654024.3000000003,134.115552023012,7.802808372128231
Chowdeswari Ward,41720,26194,15518,37.2,62.785234899328856,11.42,193.13,5313533,322290,5058847.22,202.8530579522028,12.303962739558678
Govindaraja Nagar,33936,25734,8195,24.1,75.83097595473834,6.92,122.15,3303480,192036,3143408.1,128.3702494754022,7.4623455350897645
Maruthi Mandir ward,35073,25648,9417,26.9,73.12747697659168,7.65,133.05,3353990,194119,3412466.4000000004,130.77004054897068,7.568582345601996
Kamakshipalya,34658,25365,9284,26.8,73.18656587223728,6.98,124.77,3263544,189598,3164791.05,128.66327616794797,7.474788093830081
Avalahalli,37890,24789,13090,34.5,65.42359461599366,7.5,132.55,3315008,189999,3285781.95,133.72899269837427,7.6646496429868085
Banashankari Temple ward,41326,24423,16888,40.9,59.0983884237526,5.61,103.27,2598862,141898,2522163.21,106.4104327887647,5.810015149654014
Kadugodi,40210,24200,16001,39.8,60.18403382243223,8.91,155.22,4537344,267519,3756324.0,187.49355371900828,11.054504132231404
