Ward,Searches,Bookings,Completed_Trips,Conversion_Rate,Booking_to_Search_Rate,Completion_to_Search_Rate,Completion_Rate_From_Bookings
Rajarajeshwari Nagar,297997,170354,119567,40.1,57.16634731222127,40.12355829085528,70.18737452598707
Hulimavu,399563,182318,119094,29.8,45.62935006494595,29.80606312396293,65.3221294660977
Mahadevapura,519993,195067,116959,22.5,37.513389603321585,22.492418167167635,59.9583732768741
Belathur,473171,186679,115788,24.5,39.45275598039609,24.470645918705923,62.025187621532154
Rupenaagrahara,468424,190728,111611,23.8,40.7169572865609,23.82691749355285,58.51841365714525
Byatarayanapura,326788,168796,110246,33.7,51.65305947586815,33.73624490495367,65.31315907959905
Jogupalya,352576,163111,108242,30.7,46.26264975494645,30.700331276093667,66.36094438756429
Hemmigepura,324225,158827,106777,32.9,48.98666049811088,32.932994062765054,67.22849389587412
Babusab Palya,387542,168721,105895,27.3,43.53618446516765,27.324780281879125,62.7633785954327
Kogilu,323620,159915,104384,32.3,49.41443668500093,32.25511402261912,65.27467717224775
Konena Agrahara,398931,159894,102850,25.8,40.080615444776164,25.78140079362095,64.32386456027118
Konanakunte,288519,154765,101021,35.0,53.64118134334307,35.01363861652092,65.27380221626336
Sunkenahalli,266613,148854,100920,37.9,55.83148608657492,37.85261783934017,67.7979765407715
Kadu Malleshwara,234374,139524,100728,43.0,59.53049399677438,42.977463370510385,72.19403113442849
Subhash Nagar,312008,160185,96108,30.8,51.340029742827106,30.80305633188893,59.99812716546493
Radhakrishna Temple Ward,235760,138698,94980,40.3,58.83016627078385,40.28673227010519,68.47971852514095
Amrutahalli,290243,141512,90988,31.4,48.7563868896063,31.348904194071864,64.29702074735711
Nagapura,224785,132094,90419,40.2,58.764597281847095,40.22465911871343,68.45049737308281
Lingarajapura,247617,133228,89020,35.9,53.80406030280634,35.95068189986956,66.81778605098027
Devasandra,328961,151453,88876,27.0,46.039804110517665,27.017184407878137,58.68223145134134
Arakere,297635,131785,88063,29.6,44.277386732071164,29.587582105599143,66.82323481428084
Bilekhalli,341292,135758,86611,25.4,39.77766838953155,25.377389449503653,63.79808188099412
Lal Bahadur Nagar,298439,128841,85453,28.6,43.171636414811736,28.63332205241272,66.32438431865633
Hombegowda Nagara,297006,132613,84882,28.6,44.649939731857266,28.579220621805618,64.00729943519866
Sanjaya Nagar,232325,123907,84364,36.3,53.33347681050253,36.31292370601528,68.08654878255466
Jalakanteshwara Nagara,341355,126460,84108,24.6,37.04647654201638,24.639451597310718,66.50956824292267
Subramanya Nagar,227183,132053,84018,37.0,58.12626825070538,36.982520699172035,63.62445381778529
A Narayanapura,380520,148604,83641,22.0,39.05287501313992,21.98071060653842,56.2844876315577
Dharmaraya Swamy Temple Ward,366440,154173,81338,22.2,42.07319069970527,22.196812575046394,52.757616443865004
Ganesh Mandir ward,194825,115021,81053,41.6,59.03811112536892,41.60297703066855,70.46800149537911
Maruthi Seva Nagar,242742,120619,77966,32.1,49.6902060624037,32.118875184352106,64.6382410731311
Yediyur,217584,114022,77289,35.5,52.40366938745497,35.521453783366425,67.7842872428128
RBI layout,238409,112912,75034,31.5,47.36062816420521,31.472805137389948,66.45352132634264
Basavanagudi,186676,105222,74855,40.1,56.36611026591527,40.09888791274722,71.1400657657144
Ashoka Pillar,240165,114382,74768,31.1,47.626423500510064,31.13193013136802,65.3669283628543
Shanthi Nagar,295377,117491,74214,25.1,39.77662444943242,25.125179008521314,63.16568928683899
Hebbala,210018,111227,74191,35.3,52.96069860678608,35.32601967450409,66.70232947036241
Jakkasandra,293539,120381,71542,24.4,41.01022351374093,24.372229925154752,59.429644212957186
Vasanthpura,197481,104593,71270,36.1,52.96357624277779,36.08954785523671,68.14031531746866
Chatrapati Shivaji,246998,121287,70969,28.7,49.10444618984769,28.732621316771795,58.51327842225466
Ganga Nagar,188574,103887,70862,37.6,55.09083967036813,37.577820908502765,68.21065195837785
Veeramadakari,220637,108624,70763,32.1,49.23199644665219,32.072136586338644,65.14490352040065
Kodigehalli,196145,105725,70564,36.0,53.90145045756965,35.975426342756634,66.74296524000945
Chunchaghatta,217645,100846,69785,32.1,46.335086953525234,32.06368168347539,69.19957162406045
Girinagar,151298,92674,68559,45.3,61.25262726539676,45.31388385834578,73.97867794634956
Vidyaranyapura,162334,92989,68434,42.2,57.28251629356759,42.15629504601624,73.5936508619299
Puttenahalli - Sarakki Lake,207078,103627,68322,33.0,50.04249606428496,32.99336481905369,65.93069373811844
Vijnana Nagar,284810,100939,67616,23.7,35.44082019592009,23.74073944032864,66.98699214377
Ramamurthy Nagara,232429,100972,66479,28.6,43.442083388905864,28.601852608753642,65.83904448758071
Kacharkanahalli,191730,99607,65419,34.1,51.95170291555834,34.12037761435352,65.67711104641239
New Bayappanahalli,254107,107300,65408,25.7,42.226306241071676,25.74033773174293,60.958061509785644
Uttarahalli,186490,95735,65255,35.0,51.33519223550861,34.99115234060808,68.16211416932157
Begur,265563,104409,65013,24.5,39.316094486054155,24.481196552230543,62.267620607418905
Kaval Bairasandra,193601,96136,63841,33.0,49.656768301816626,32.97555281222721,66.40696513272863
Malleswaram,166854,91944,63512,38.1,55.104462584055526,38.06441559686912,69.07682937440181
Varthuru,402250,103606,62888,15.6,25.75661901802362,15.63405842137974,60.6991873057545
Hagadur,278239,102653,62887,22.6,36.89382149878342,22.60179198458879,61.26172639864398
Padmanabha Nagar,158399,88380,62331,39.4,55.795806791709545,39.35062721355564,70.52613713509844
Chamrajapet,200517,102838,61777,30.8,51.28642459242857,30.808859099228492,60.072152317236814
Umamaheshwara Ward,164543,89945,61347,37.3,54.663522605033336,37.28326334149736,68.20501417532937
Yelahanka Satellite Town,169746,95135,61324,36.1,56.04550328137334,36.12691904374772,64.45997792610501
Anjanapura,181644,88729,60694,33.4,48.84774614080289,33.41371033450045,68.4037913196362
Jayachamarajendra  Nagar,167767,89181,60216,35.9,53.15765317374692,35.8926368117687,67.52110875634945
Jayamahal,199847,95354,57697,28.9,47.71350082813352,28.87058599828869,60.508211506596474
Shettihalli,172369,86145,56658,32.9,49.977084046435266,32.870179672678965,65.77050322131291
Lakkasandra,244683,94954,56502,23.1,38.8069461302992,23.091918931842425,59.50460222844745
Dattatreya Temple,139810,80384,56306,40.3,57.49517201916887,40.27322795222087,70.04627786624204
Medahalli,210416,88720,56103,26.7,42.16409398524827,26.66289635769143,63.23602344454463
K R Puram,246849,95586,55788,22.6,38.722457858852984,22.60005104335039,58.36419559349696
Garudachar Playa,233812,96448,55750,23.8,41.25023523172464,23.843942996937713,57.80316854678168
Katriguppe,136402,79166,55446,40.6,58.03873843492031,40.64896409143561,70.03764242225198
Devarachikkanahalli,226563,87174,55262,24.4,38.476715085870154,24.391449618869807,63.39275472044417
Kempegowda Ward,223033,89805,54974,24.6,40.265341900077566,24.64837042052073,61.21485440677022
Neelasandra,220700,88979,54805,24.8,40.31671952877209,24.832351608518348,61.593184908798705
Kumaraswamy Layout,143853,80684,54590,38.0,56.087811863499546,37.948461276441925,67.6590154181746
Thanisandra,155904,82935,54435,34.9,53.19619766009852,34.915717364532014,65.63573883161511
Attiguppe,122277,72200,52845,43.2,59.046263810855685,43.21744890698987,73.19252077562327
Ramaswamy Palya,158326,76894,52575,33.2,48.566880992382806,33.20680115710623,68.37334512445705
Sudham Nagara,207651,86990,51838,25.0,41.89240600815792,24.96400209967686,59.59075755834004
Kanneshwara Rama,137753,75289,50824,36.9,54.655071032935766,36.895022249969145,67.50521324496275
Gurappanapalya,219358,95401,50729,23.1,43.491005570802066,23.126122594115557,53.17449502625758
Basavanapura,221845,82367,50465,22.8,37.12817507719354,22.747864499988733,61.268469168477665
Kudlu,236803,80368,50108,21.2,33.9387592218004,21.160204896052836,62.34819828787577
Sir M. Vishweshwaraiah,118310,68993,49703,42.0,58.315442481616095,42.01081903473924,72.040641804241
Mattikere,127532,72560,49681,39.0,56.89552426057774,38.955713075933886,68.4688533627343
Someshwara Ward,135715,73572,49328,36.4,54.2106620491471,36.346756069704895,67.04724623498069
Kuvempunagar,146326,74164,49239,33.7,50.684088952065935,33.6502057050695,66.39205005123779
Someshwara Nagar,202532,83617,48356,23.9,41.28582149981238,23.87573321746687,57.83034550390471
Nalvadi Krishnaraja Wadior Park,115514,66856,48127,41.7,57.876967294007656,41.66334816559032,71.98605959076222
Vishwanath Nagenahalli,154030,72720,47891,31.1,47.21158215931961,31.091995065896256,65.8567106710671
HAL Airport,211250,74006,47030,22.3,35.03242603550296,22.262721893491126,63.54890144042374
Vikram Nagar,119772,64768,45251,37.8,54.07607788130782,37.78095047256454,69.86629199604744
Dodda Bommasandra,133094,67164,44788,33.7,50.46358212992321,33.65140427066585,66.68453338097791
Hanumanth Nagar,111343,62055,44418,39.9,55.73318484323217,39.89294342706771,71.57843848199178
Rajamahal Guttahalli,117569,63260,44403,37.8,53.80670074594494,37.7676088084444,70.19127410686058
Gottigere,122130,64702,44306,36.3,52.97797428969131,36.27773683779579,68.47701771197181
Okalipuram,138471,77551,44243,31.9,56.0052285316059,31.95109445299016,57.05019922373664
Bande Mutt,148773,66875,43599,29.3,44.95103278148589,29.3057207961122,65.19476635514019
Hosakerehalli,117622,67711,43458,37.0,57.566611688289605,36.947169747156146,64.18159530947705
Sriramamandir,103115,60894,43222,41.9,59.0544537652136,41.916307035833775,70.9790783985286
Chokkasandra,151979,73111,43081,28.3,48.1059883273347,28.346679475453847,58.925469491594974
Tilak Nagar,165973,71905,42761,25.8,43.32331162297482,25.763829056533293,59.46874348098186
Manorayanapalya,138726,65761,42741,30.8,47.40351484220694,30.80965356169716,64.99444959778592
Srinagar,100697,58086,41921,41.6,57.683942917862495,41.630833093339426,72.17057466515168
Kengeri,108258,56271,39618,36.6,51.978606661863324,36.59590977110236,70.40571519965879
Marappana Palya,118135,60885,39411,33.4,51.53849409573793,33.36098531341262,64.73022912047303
Hampi Nagar,95276,55601,39198,41.1,58.35782358621269,41.14152567278223,70.49873203719358
Ullal,99172,54815,39147,39.5,55.27265760496915,39.47384342354697,71.41658305208428
Naganathapura,171381,65568,38620,22.5,38.258616766152606,22.534586681137352,58.9006832601269
Kamakya Nagar,109692,57518,38541,35.1,52.435911461182215,35.135652554425114,67.00685002955596
Mangammanapalya,154378,66180,38343,24.8,42.868802549586086,24.837088186140512,57.9374433363554
Doddagollarahatti,98783,53145,38065,38.5,53.799742870736864,38.533958272172335,71.62480007526578
T Dasarahalli,116879,61128,37945,32.5,52.300242130750604,32.46519905201106,62.07466300222484
Vidyapeeta ward,98218,55960,37832,38.5,56.97529984320593,38.51839784968132,67.60543245175124
Chamundi Nagara,109038,56063,37616,34.5,51.416020103083326,34.49806489480732,67.0959456325919
Atturu Layout,106263,54548,37150,35.0,51.33301337248148,34.96042837111695,68.10515509276233
J P Park,107208,54791,37081,34.6,51.107193493022905,34.58790388776957,67.67717325838186
Nagarabhavi,87574,51678,36747,42.0,59.010665265946514,41.961084340100946,71.10762800417973
Marenahalli,83523,49970,36141,43.3,59.82783185469871,43.270715850723754,72.32539523714229
Dr. Raj Kumar Ward,89477,51412,35829,40.0,57.45834124970662,40.04269253551192,69.68995565237688
Jaraganahalli,110924,58207,35674,32.2,52.47466733980022,32.16075871768058,61.28816121772296
Chickpete,185488,92089,34980,18.9,49.64687742603295,18.85836280514103,37.98499277872493
Gali Anjenaya Temple ward,104178,54258,34405,33.0,52.08201347693371,33.025206857493906,63.41000405470161
Vannarapete,99365,49797,33723,33.9,50.11523172143109,33.93850953555075,67.72094704500272
Kammanahalli,111511,55260,33576,30.1,49.555649218462754,30.110033987678346,60.7600434310532
Defence Colony,113502,55754,33207,29.3,49.121601381473454,29.256753184965905,59.55985220791333
Kushal Nagar,106911,51701,32787,30.7,48.358915359504635,30.66756460981564,63.41656834490629
Rajaji Nagar,78766,45396,32404,41.1,57.63400451971663,41.13957799050352,71.38073839104767
Bommanahalli,152618,54175,32011,21.0,35.497123537197446,20.974590153192942,59.08814028610983
Vijinapura,125088,51728,31626,25.3,41.35328728575083,25.283000767459708,61.13903495205692
Srinivasa Nagar,74452,42504,31259,42.0,57.08913125235051,41.9854402836727,73.54366647844908
Agaram,140342,51730,31096,22.2,36.85995639224181,22.15730144931667,60.112120626329016
Gayithri Nagar,77922,43591,31052,39.9,55.94183927517261,39.85010651677318,71.23488793558303
Vijayanagara Krishnadevaraya,79830,44220,30360,38.0,55.39270950770388,38.03081548290116,68.65671641791045
Kammagondanahalli,88813,44183,30124,33.9,49.74834765180773,33.91845788341797,68.1800692574067
Veerabhadranagar,83820,45797,29394,35.1,54.637318062514915,35.06800286327845,64.1832434438937
Bharathi Nagar,113705,51610,28677,25.2,45.389384811573805,25.220526801811705,55.564813020732416
Yelachenahalli,92064,47953,28465,30.9,52.08659193604449,30.918708724365658,59.36020686922612
Deen Dayalu Ward,86800,44423,28289,32.6,51.17857142857143,32.59101382488479,63.68097607095423
Kadugondanahalli,94784,45936,28083,29.6,48.46387575962188,29.628418298446995,61.13505747126437
Sagayarapuram,98658,46108,28010,28.4,46.73518619878773,28.39100731821038,60.74867701917238
Chanakya,96377,44733,27699,28.7,46.41460099401309,28.74025960550754,61.92072966266514
Shivanagara,64174,37977,27691,43.1,59.1781718452956,43.14987378065883,72.91518550701741
Mahalakshimpuram,65516,38745,27477,41.9,59.13822577690946,41.93937358813115,70.91753774680603
Basaveshwara Nagar,58527,36131,27146,46.4,61.73390059288876,46.382011721085995,75.13215798068141
Vidyamanyanagar,75939,38827,26581,35.0,51.12919580189362,35.003094589078074,68.46009220387874
Peenya,91034,45149,26421,29.0,49.595755432036384,29.02322209284443,58.51956853972402
Chowdeswari Ward,90118,41720,26194,29.1,46.29485785303713,29.066335249339755,62.785234899328856
Govindaraja Nagar,56479,33936,25734,45.6,60.08604968218276,45.56383788664814,75.83097595473834
Maruthi Mandir ward,59573,35073,25648,43.0,58.87398653752539,43.05306095043056,73.12747697659168
Kamakshipalya,57410,34658,25365,44.2,60.36927364570632,44.182198223306045,73.18656587223728
Avalahalli,67045,37890,24789,37.0,56.51428145275561,36.97367439779253,65.42359461599366
Banashankari Temple ward,85840,41326,24423,28.4,48.1430568499534,28.451770736253497,59.0983884237526
Kadugodi,114762,40210,24200,21.1,35.037730259145015,21.087119429776408,60.18403382243223
Bagalakunte,80540,36470,23104,28.7,45.28184752917805,28.68636702259747,63.35069920482589
Hosahalli,55891,32751,22777,40.8,58.59798536436993,40.75253618650588,69.54596806204391
Shankar Matt,53607,31755,22594,42.1,59.23666685320947,42.147480739455666,71.15099984254448
Nelagadderanahalli,70269,33005,20820,29.6,46.96950291024491,29.62899713956368,63.08135131040752
Dodda Bidarakallu,75747,33515,20643,27.3,44.245976738352674,27.252564457998336,61.59331642548113
Vijayanagar,54745,30132,20474,37.4,55.040642981094166,37.39884920997351,67.9476968007434
Prakash Nagar,50760,28934,19727,38.9,57.00157604412923,38.863278171788814,68.17930462431741
Shakthi Ganapathi Nagar,45353,26831,19527,43.1,59.160364253742856,43.05558617952506,72.77775707204354
Chandra Layout,50247,28165,19187,38.2,56.053097697374966,38.18536430035624,68.123557606959
Herohalli,47952,26192,18276,38.1,54.62128795462129,38.11311311311311,69.77703115455101
Agrahara Dasarahalli,43027,24554,18053,42.0,57.06649313221931,41.95737560136658,73.52366213244278
Puneet Rajkumar,45863,26265,18033,39.3,57.268386280880016,39.31927697708392,68.65790976584809
Nandini Layout,44061,25692,17747,40.3,58.310070130046974,40.27825060711287,69.07597695780788
Binnipete,59606,30446,17157,28.8,51.07875046136295,28.784015032043754,56.3522301780201
Nagavara,68797,29541,17006,24.7,42.93937235635275,24.719101123595504,57.56744863071663
Rajagopal Nagar,49249,24943,16453,33.4,50.64671363885561,33.40778492964324,65.96239425891032
Ranadheera Kanteerava,46845,24906,16164,34.5,53.16682676913225,34.50528338136407,64.90002409058059
Hongasandra,66045,26768,15798,23.9,40.529941706412295,23.920054508289805,59.01823072325164
Cottonpete,67650,32405,15118,22.4,47.900960827790094,22.347376201034738,46.65329424471532
Dayananda Nagar,35860,20224,13486,37.6,56.39709983268265,37.607361963190186,66.68314873417721
Mudalapalya,34182,18953,12984,38.0,55.447311450471005,37.98490433561524,68.5063050704374
Nayandahalli,41688,20511,12926,31.0,49.20120898100173,31.006524659374403,63.01984301106723
Venkateshpura,53359,23529,12897,24.2,44.09565396652861,24.17024307052231,54.813209231161544
Azad Nagar,39763,20954,12675,31.9,52.69723109423333,31.87636747730302,60.48964398205593
Jai Maruthinagara,33022,18500,12151,36.8,56.02325722245776,36.79668100054509,65.68108108108109
Sunkadakatte,34069,17930,11471,33.7,52.628489242419796,33.669905192403654,63.976575571667595
Mallasandra,35455,17359,11329,31.9,48.960654350585244,31.953180087434774,65.26297597787891
Veera Sindhura Lakshamana,33045,17019,11116,33.6,51.50249659555152,33.638977152367985,65.31523591280333
Kaveripura,28034,15239,9824,35.0,54.35899265177998,35.043161874866236,64.46617232101845
Hegganahalli,29838,15383,9628,32.3,51.55506401233326,32.267578255915275,62.588571800039006
Vrisabhavathi Nagar,27199,14631,9475,34.8,53.7924188389279,34.83583955292474,64.75975668101975
Rajeshwari Nagar,28779,14391,9020,31.3,50.0052121338476,31.3422982035512,62.67806267806267
Muneshwara Nagar,34615,15016,8025,23.2,43.38003755597285,23.183590928788096,53.44299413958444
Jagajivanaram Nagar,26740,13471,6957,26.0,50.377711293941665,26.017202692595365,51.64427288248831
Lakshmi Devi Nagar,19623,10356,6580,33.5,52.774805075676504,33.53207970239006,63.53804557744303
S K Garden,28317,11800,6492,22.9,41.6710809760921,22.926157431931347,55.016949152542374
Chalavadipalya,23758,11350,6328,26.6,47.77338159777759,26.635238656452564,55.753303964757706
Padarayanapura,20946,9934,5098,24.3,47.426716318151435,24.33877589993316,51.31870344272197
Bapuji Nagar,18887,9629,5074,26.9,50.982157039233336,26.86503944512098,52.694983902793645
Kempapura Agrahara,16628,7934,4452,26.8,47.714698099591054,26.774115949001686,56.11293168641291
Devaraj Urs Nagar,17831,8724,4040,22.7,48.92602770455948,22.65717009702204,46.30903255387437
Devara Jeevanahalli,9611,3730,1407,14.6,38.809697221933206,14.639475600874,37.72117962466488
